ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA	SEROTYPE	eBG
447	13	127	92	113	114	107	4	Poona	46
448	48	128	96	119	116	119	118		80
448	48	128	96	119	116	119	118	Mississippi	80
449	14	72	114	12	6	19	15	Litchfield	61
450	83	46	25	148	33	23	63	Telelkebir	
451	111	109	17	149	41	13	23	Pomona	16
452	30	28	31	150	22	29	30		23
453	14	42	115	12	6	19	15	Litchfield	61
454	30	28	31	151	22	148	30		23
455	146	89	8	33	139	149	4	Lagos	
457	137	2	36	152	2	7	6	Livingstone	
459	14	13	18	12	14	18	7	Thompson	28
460	5	2	3	7	6	6	19	Enteritidis	4
461	2	25	9	9	5	9	12	Heidelberg	26
462	117	14	23	127	6	7	22	Singapore	84
463	92	125	78	128	138	9	141		83
463	92	125	78	128	138	9	141	Meleagridis	83
464	10	129	18	153	8	150	22	Bareilly	233
465	83	63	49	154	33	58	137	Chandans	
466	147	13	15	123	140	7	17	Zanzibar	157
467	136	130	40	94	2	9	95	Agama	167
468	33	86	30	155	135	87	134		
469	92	107	79	156	64	151	87	Rissen	66
470	5	2	3	7	31	6	11	Gallinarum	4
471	13	131	49	157	12	13	4	Johannesburg	38
472	88	68	30	87	21	87	80		10
473	2	5	116	88	5	7	12	Hadar	22
474	161	147	96	178	155	12	142	Napoli	60
475	162	148	117	179	93	162	96	Itami	
476	163	26	30	180	141	163	134		
477	55	149	59	54	57	70	50		
478	119	11	17	42	12	13	4	Muenster	36
479	164	4	8	181	27	9	8	Paratyphi_A	11
480	136	132	80	182	85	98	91		
481	151	77	27	158	18	152	25		215
482	127	133	40	159	76	74	95	Legon	
483	152	4	8	160	36	153	143	Hallfold	
484	153	134	118	161	142	154	103	Westerstede	
485	7	6	8	8	143	8	13	Senftenberg	55
486	102	135	98	162	8	9	144	Sternschanze	
487	130	64	25	163	84	6	126	Kamoru	
488	13	80	119	164	12	15	145	Soahanina	
488	13	80	119	164	12	15	145	Sundsvall	
489	154	136	46	165	124	162	12	Garoli	
490	99	137	120	116	144	19	120	Kapemba	180
491	155	138	121	99	145	19	146	Manchester	
492	13	46	25	49	146	155	4	Bonariensis	
493	17	2	10	166	147	21	119	Infantis	
494	45	77	8	167	27	9	8	Paratyphi_A	11
495	45	8	8	127	27	9	8	Paratyphi_A	11
496	71	139	25	75	36	156	147	Curacao	
497	36	31	35	168	26	6	8	Choleraesuis_var_Kunzendorf	6
498	17	115	8	169	148	157	22	Agbeni	
499	127	46	49	170	149	9	41	Sylvania	182
499	127	46	49	170	149	9	41	Warragul	182
500	127	90	40	171	150	158	148	Yardley	
501	117	14	23	127	151	7	22	Singapore	84
502	14	14	122	172	6	7	33	Kingabwa	85
